Party,	Years,	Surplus,	Deficit,	Mean.BB.GDP.Percent,	Median.BB.GDP.Percent
Conservative,	148.446575342466,	54.2356164383562,	94.2109589041096,	-0.588036344072423,	-0.497504049157278
Social Credit,	10.8684931506849,	2,	8.86849315068493,	-0.853649983678548,	-0.822705182919308
NDP,	71.6958904109589,	30.8520547945205,	40.8438356164384,	-0.253088410691934,	-0.238162995626529
Liberal,	99.9917808219178,	18.8356164383562,	80.1561643835617,	-0.93788698603941,	-0.687635783083653
Québec,	14.8356164383562,	3,	11.8356164383562,	-1.21635063540129,	-0.76054736591233
Saskatchewan,	6.07671232876712,	5.07671232876712,	1,	0.48556892529628,	0.149891920036605
Yukon,	11.0849315068493,	9,	2.08493150684932,	0.952172983786858,	0.431126613187267
