"Legislature","Election Date","Elected Party"
"39","1979-06-18","Progressive Conservative Party"
"40","1982-04-06","Progressive Conservative Party"
"41","1985-04-02","Progressive Conservative Party"
"42","1989-04-20","Liberal Party"
"43","1993-05-03","Liberal Party"
"44","1996-02-22","Liberal Party"
"45","1999-02-09","Liberal Party"
"46","2003-10-21","Progressive Conservative Party"
"47","2007-10-09","Progressive Conservative Party"
"48","2011-10-11","Progressive Conservative Party"
