"Legislature","Election Date","Elected Party"
"31","1976-11-15","Parti québécois"
"32","1981-04-13","Parti québécois"
"33","1985-12-02","Québec Liberal Party"
"34","1989-09-25","Québec Liberal Party"
"35","1994-09-12","Parti québécois"
"36","1998-11-30","Parti québécois"
"37","2003-04-14","Québec Liberal Party"
"38","2007-03-26","Québec Liberal Party"
"39","2008-12-08","Québec Liberal Party"
"40","2012-09-04","Parti québécois"
"41","2014-04-07","Québec Liberal Party"
