"Legislature","Election Date","Elected Party"
"19","1978-10-18","New Democratic Party of Saskatchewan"
"20","1982-04-26","Progressive Conservative Party of Saskatchewan"
"21","1986-10-20","Progressive Conservative Party of Saskatchewan"
"22","1991-10-21","New Democratic Party of Saskatchewan"
"23","1995-06-21","New Democratic Party of Saskatchewan"
"24","1999-09-16","New Democratic Party of Saskatchewan"
"25","2003-11-05","New Democratic Party of Saskatchewan"
"26","2007-11-07","Saskatchewan Party"
"27","2011-11-07","Saskatchewan Party"
