"Legislature","Election Date","Elected Party"
"32","1979-05-10","British Columbia Social Credit Party"
"33","1983-05-05","British Columbia Social Credit Party"
"34","1986-10-22","British Columbia Social Credit Party"
"35","1991-10-17","BC NDP"
"36","1996-05-28","BC NDP"
"37","2001-05-16","British Columbia Liberal Party"
"38","2005-05-17","British Columbia Liberal Party"
"39","2009-05-12","British Columbia Liberal Party"
"40","2013-05-14","British Columbia Liberal Party"
